תאריך,סוג פעילות / מקום,עיר,מלון,כתובת המלון,סוג תחבורה,וואצ'ר?
7/26/2026,הגעה וצ׳ק אין למלון,טוקיו,Richmond Hotel Asakusa,"2 Chome-7-10 Asakusa, Taito City, Tokyo, Japan",הסעה,V
7/26/2026,סיור ערב ברחוב Kannon,טוקיו,,,הליכה,
7/26/2026,סיור ברחוב Orange,טוקיו,,,הליכה,
7/27/2026,ביקור ב-Tokyo Skytree,טוקיו,,,רכבת,
7/27/2026,Konica Minolta Planetarium,טוקיו,,,הליכה,
7/27/2026,אקווריום Sumida,טוקיו,,,הליכה,
7/27/2026,מעבר ל-Asakusa Station,טוקיו,,,רכבת,
7/27/2026,שער Kaminari-mon,טוקיו,,,הליכה,
7/27/2026,רחוב Nakamise,טוקיו,,,הליכה,
7/27/2026,מקדש Senso-ji,טוקיו,,,הליכה,
7/27/2026,פגודת חמש הקומות,טוקיו,,,הליכה,
7/27/2026,שייט Tokyo Cruise Ship,טוקיו,,,מעבורת,
7/27/2026,טיילת Odaiba,טוקיו,,,הליכה,
7/27/2026,פסל החירות וגשר Rainbow,טוקיו,,,הליכה,
7/27/2026,מוזיאון Miraikan,טוקיו,,,הליכה,V
7/27/2026,Tokyo Joypolis,טוקיו,,,הליכה,
7/27/2026,פסל Unicorn Gundam,טוקיו,,,הליכה,
7/27/2026,קניון DiverCity Tokyo Plaza,טוקיו,,,הליכה,
7/28/2026,שוק Tsukiji Outer Market,טוקיו,,,רכבת,
7/28/2026,רחוב Chuo-dori,טוקיו,,,הליכה,
7/28/2026,בית Seiko,טוקיו,,,הליכה,
7/28/2026,GINZA SIX,טוקיו,,,הליכה,
7/28/2026,Tokyu Plaza Ginza,טוקיו,,,הליכה,
7/28/2026,Mitsukoshi Ginza,טוקיו,,,הליכה,
7/28/2026,Matsuya Ginza,טוקיו,,,הליכה,
7/28/2026,Marronnier Gate,טוקיו,,,הליכה,
7/28/2026,חנות הדגל UNIQLO,טוקיו,,,הליכה,
7/28/2026,Art Aquarium,טוקיו,,,הליכה,
7/28/2026,Yurakucho Gado-shita,טוקיו,,,הליכה,
7/29/2026,פארק Ueno,טוקיו,,,רכבת,
7/29/2026,אגם Shinobazu,טוקיו,,,הליכה,
7/29/2026,פביליון Benten,טוקיו,,,הליכה,
7/29/2026,Ueno Zoo,טוקיו,,,הליכה,
7/29/2026,פסל Saigo Takamori,טוקיו,,,הליכה,
7/29/2026,מקדש Toshogu Shrine,טוקיו,,,הליכה,
7/29/2026,שוק Ameyoko,טוקיו,,,הליכה,
